nuts_code,region_name_policy,year,program_name,hh_size,guaranteed_amount,max_amount,source_year,assumption_no_change,assumption_note,source_amount,notes_amount,schedule_included_main_baseline
ES12,Asturias,2018,Salario Social Básico,2,540.41,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2019,Salario Social Básico,2,540.41,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2017,Salario Social Básico,3,611.28,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2018,Salario Social Básico,3,611.28,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2019,Salario Social Básico,3,611.28,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2017,Salario Social Básico,4,682.14,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2018,Salario Social Básico,4,682.14,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2019,Salario Social Básico,4,682.14,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2017,Salario Social Básico,5,713.16,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2018,Salario Social Básico,5,713.16,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2019,Salario Social Básico,5,713.16,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2017,Salario Social Básico,6,730.88,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2018,Salario Social Básico,6,730.88,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2019,Salario Social Básico,6,730.88,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES53,Balearic Islands,2017,Renta Social Garantizada,1,430.36,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2018,Renta Social Garantizada,1,430.36,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2019,Renta Social Garantizada,1,430.36,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2017,Renta Social Garantizada,2,430.36,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2018,Renta Social Garantizada,2,430.36,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2019,Renta Social Garantizada,2,430.36,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2017,Renta Social Garantizada,3,559.47,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2018,Renta Social Garantizada,3,559.47,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2019,Renta Social Garantizada,3,559.47,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2017,Renta Social Garantizada,4,645.54,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2018,Renta Social Garantizada,4,645.54,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2019,Renta Social Garantizada,4,645.54,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2017,Renta Social Garantizada,5,688.58,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2018,Renta Social Garantizada,5,688.58,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2019,Renta Social Garantizada,5,688.58,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2017,Renta Social Garantizada,6,731.61,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2018,Renta Social Garantizada,6,731.61,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2019,Renta Social Garantizada,6,731.61,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2017,Renta Social Garantizada,7,774.65,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2018,Renta Social Garantizada,7,774.65,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES53,Balearic Islands,2019,Renta Social Garantizada,7,774.65,776.58,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,True
ES70,Canary Islands,2017,Prestación Canaria de Inserción,1,476.88,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
