region,program_name,hh_size,guaranteed_amount,max_amount,hh_rule_type,simple_schedule,amount_simulable,amount_simulation_notes,source,notes,nuts_code,source_year,year,assumption_no_change,assumption_note
Aragon,Ingreso Aragonés de Inserción,6.0,896.8,707.0,size_schedule,True,True,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,2019,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,1.0,442.96,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2017,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,1.0,442.96,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2018,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,1.0,442.96,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2019,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,2.0,540.41,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2017,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,2.0,540.41,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2018,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,2.0,540.41,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2019,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,3.0,611.28,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2017,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,3.0,611.28,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2018,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,3.0,611.28,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2019,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,4.0,682.14,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2017,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,4.0,682.14,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2018,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,4.0,682.14,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2019,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,5.0,713.16,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2017,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,5.0,713.16,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2018,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,5.0,713.16,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2019,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,6.0,730.88,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2017,True,2017 parameters carried forward to 2018-2019
Asturias,Salario Social Básico,6.0,730.88,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2018,True,2017 parameters carried forward to 2018-2019
