region_name_policy,baseline_age_threshold,baseline_claim_unit,baseline_resource_concept,baseline_wealth_test,baseline_labour_test,baseline_age_rule_type,baseline_allowed_hh_types,baseline_exclude_threeplus_adults,baseline_threeplus_rule,baseline_nonobservable_conditions_ignored,baseline_restricted_design,baseline_restriction_rationale,baseline_conditionality_profile,baseline_apply_active_inclusion_gate,baseline_relax_labour_gate,baseline_non_takeup_group,baseline_scheme_structure,baseline_amount_topup_factor,baseline_main_included,baseline_amount_method,nuts_code,source_year,year,assumption_no_change,assumption_note,program_name,simple_schedule,hh_rule_type,amount_simulable,max_amount,max_hh_size_listed,amount_simulation_notes,source_amount,notes_amount,baseline_has_listed_schedule,baseline_formula_region,baseline_needs_special_handling,labour_gate_profile,labour_gate_profile_note
Galicia,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,medium,classic_rmi,1.0,True,simple_schedule,ES11,2017,2018,True,2017 baseline operational rules carried forward to 2018-2019,Renta de Inclusión Social (RISGA),True,size_schedule,True,726.08,4,Larger household sizes may need cap logic,Dato sulla RMI 2017.pdf - Cuadro 8 / notes,Later 2017 values after update; larger sizes may need cap logic,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Galicia,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,medium,classic_rmi,1.0,True,simple_schedule,ES11,2017,2019,True,2017 baseline operational rules carried forward to 2018-2019,Renta de Inclusión Social (RISGA),True,size_schedule,True,726.08,4,Larger household sizes may need cap logic,Dato sulla RMI 2017.pdf - Cuadro 8 / notes,Later 2017 values after update; larger sizes may need cap logic,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Madrid,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES30,2017,2017,True,2017 baseline operational rules carried forward to 2018-2019,Renta Mínima de Inserción,True,size_schedule,True,707.7,3,Partial schedule; larger sizes use cap,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; larger sizes use cap,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Madrid,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES30,2017,2018,True,2017 baseline operational rules carried forward to 2018-2019,Renta Mínima de Inserción,True,size_schedule,True,707.7,3,Partial schedule; larger sizes use cap,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; larger sizes use cap,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Madrid,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES30,2017,2019,True,2017 baseline operational rules carried forward to 2018-2019,Renta Mínima de Inserción,True,size_schedule,True,707.7,3,Partial schedule; larger sizes use cap,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; larger sizes use cap,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Melilla,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES64,2017,2017,True,2017 baseline operational rules carried forward to 2018-2019,Ingreso Melillense de Integración / Prestación Básica Familiar,True,size_schedule,True,764.4,5,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Melilla,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES64,2017,2018,True,2017 baseline operational rules carried forward to 2018-2019,Ingreso Melillense de Integración / Prestación Básica Familiar,True,size_schedule,True,764.4,5,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Melilla,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES64,2017,2019,True,2017 baseline operational rules carried forward to 2018-2019,Ingreso Melillense de Integración / Prestación Básica Familiar,True,size_schedule,True,764.4,5,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Murcia,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,soft,False,True,none,classic_rmi,1.0,True,simple_schedule,ES62,2017,2017,True,2017 baseline operational rules carried forward to 2018-2019,Renta Básica de Inserción,True,size_schedule,True,806.76,8,Using reported Murcia schedule as operational proxy; 8+ treated as top bracket/cap.,Informe_2018.pdf - Cuadro 2 / informe-rrmm-19.pdf - Cuadro 3-4,Operational proxy for pre-2020 simulation; Murcia treated as listed schedule region instead of excluded formula region.,True,False,False,standard,Soft conditionality (Renta Básica de Inserción); unemployed or nonworking required
Murcia,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,soft,False,True,none,classic_rmi,1.0,True,simple_schedule,ES62,2017,2018,True,2017 baseline operational rules carried forward to 2018-2019,Renta Básica de Inserción,True,size_schedule,True,806.76,8,Using reported Murcia schedule as operational proxy; 8+ treated as top bracket/cap.,Informe_2018.pdf - Cuadro 2 / informe-rrmm-19.pdf - Cuadro 3-4,Operational proxy for pre-2020 simulation; Murcia treated as listed schedule region instead of excluded formula region.,True,False,False,standard,Soft conditionality (Renta Básica de Inserción); unemployed or nonworking required
Murcia,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,soft,False,True,none,classic_rmi,1.0,True,simple_schedule,ES62,2017,2019,True,2017 baseline operational rules carried forward to 2018-2019,Renta Básica de Inserción,True,size_schedule,True,806.76,8,Using reported Murcia schedule as operational proxy; 8+ treated as top bracket/cap.,Informe_2018.pdf - Cuadro 2 / informe-rrmm-19.pdf - Cuadro 3-4,Operational proxy for pre-2020 simulation; Murcia treated as listed schedule region instead of excluded formula region.,True,False,False,standard,Soft conditionality (Renta Básica de Inserción); unemployed or nonworking required
