region,program_name,hh_size,guaranteed_amount,max_amount,hh_rule_type,simple_schedule,amount_simulable,amount_simulation_notes,source,notes,nuts_code,source_year,assumption_no_change,assumption_note
Cantabria,Renta Social Básica,2,430.27,672.3,size_schedule,TRUE,TRUE,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,TRUE,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,3,537.84,672.3,size_schedule,TRUE,TRUE,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,TRUE,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,4,591.63,672.3,size_schedule,TRUE,TRUE,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,TRUE,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,5,650.79,672.3,size_schedule,TRUE,TRUE,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,1,420.42,723.12,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES42,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,2,420.42,723.12,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES42,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,3,470.87,723.12,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES42,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,4,521.32,723.12,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES42,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,5,571.77,723.12,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES42,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,6,622.22,723.12,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES42,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,7,672.67,723.12,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES42,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla y Leon,Renta Garantizada de Ciudadanía,1,430.27,699.19,size_schedule,TRUE,TRUE,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES41,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla y Leon,Renta Garantizada de Ciudadanía,2,537.84,699.19,size_schedule,TRUE,TRUE,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES41,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla y Leon,Renta Garantizada de Ciudadanía,3,602.38,699.19,size_schedule,TRUE,TRUE,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES41,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla y Leon,Renta Garantizada de Ciudadanía,4,645.41,699.19,size_schedule,TRUE,TRUE,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES41,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla y Leon,Renta Garantizada de Ciudadanía,5,688.44,699.19,size_schedule,TRUE,TRUE,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES41,2017,TRUE,2017 parameters carried forward to 2018-2019
Castilla y Leon,Renta Garantizada de Ciudadanía,6,699.19,699.19,size_schedule,TRUE,TRUE,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES41,2017,TRUE,2017 parameters carried forward to 2018-2019
Catalonia,Renta Garantizada de Ciudadanía (RGC),1,564,1062,size_schedule,TRUE,TRUE,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward,ES51,2017,TRUE,2017 parameters carried forward to 2018-2019
Catalonia,Renta Garantizada de Ciudadanía (RGC),2,836,1062,size_schedule,TRUE,TRUE,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward,ES51,2017,TRUE,2017 parameters carried forward to 2018-2019
Catalonia,Renta Garantizada de Ciudadanía (RGC),3,909,1062,size_schedule,TRUE,TRUE,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward,ES51,2017,TRUE,2017 parameters carried forward to 2018-2019
Catalonia,Renta Garantizada de Ciudadanía (RGC),4,982,1062,size_schedule,TRUE,TRUE,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward,ES51,2017,TRUE,2017 parameters carried forward to 2018-2019
Catalonia,Renta Garantizada de Ciudadanía (RGC),5,1062,1062,size_schedule,TRUE,TRUE,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward,ES51,2017,TRUE,2017 parameters carried forward to 2018-2019
Ceuta,Ingreso Mínimo de Inserción Social,1,300,420,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES63,2017,TRUE,2017 parameters carried forward to 2018-2019
Ceuta,Ingreso Mínimo de Inserción Social,2,330,420,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES63,2017,TRUE,2017 parameters carried forward to 2018-2019
Ceuta,Ingreso Mínimo de Inserción Social,3,360,420,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES63,2017,TRUE,2017 parameters carried forward to 2018-2019
Ceuta,Ingreso Mínimo de Inserción Social,4,390,420,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES63,2017,TRUE,2017 parameters carried forward to 2018-2019
Ceuta,Ingreso Mínimo de Inserción Social,5,420,420,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES63,2017,TRUE,2017 parameters carried forward to 2018-2019
Extremadura,Renta Básica Extremeña de Inserción,1,430.27,726.08,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES43,2017,TRUE,2017 parameters carried forward to 2018-2019
Extremadura,Renta Básica Extremeña de Inserción,2,430.27,726.08,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES43,2017,TRUE,2017 parameters carried forward to 2018-2019
Extremadura,Renta Básica Extremeña de Inserción,3,537.84,726.08,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES43,2017,TRUE,2017 parameters carried forward to 2018-2019
